timestamp,date,source_date,model_id,running,waiting,ttft_ms,tokens_per_second,data_origin
2026-04-23 00:00:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:00:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:00:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:02:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:02:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:02:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:04:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:04:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:04:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:06:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:06:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:06:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:08:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:08:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:08:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:10:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:10:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:10:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:12:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:12:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:12:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:14:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:14:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:14:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:16:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:16:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:16:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:18:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:18:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:18:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:20:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:20:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:20:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:22:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:22:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:22:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:24:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:24:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:24:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:26:00,2026-04-23,2026-04-23,DeepSeek-V4,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:26:00,2026-04-23,2026-04-23,Minimax-M2.5,0.0,0.0,,0.0,synthetic_history_calibrated
2026-04-23 00:26:00,2026-04-23,2026-04-23,Qwen3.6-35B-A3B,0.0,0.0,,0.0,synthetic_history_calibrated
