hour,customer_id,request_count,total_tokens,input_tokens,output_tokens,estimated_cost,success_rate,error_rate,rate_limit_rate,server_error_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_first_token_latency_ms,queue_p95_ms,active_customers,active_keys,distinct_ips,safety_hit_rate,retry_rate,cache_hit_rate,fallback_rate,reasoning_tokens,tokens_per_request,output_input_ratio,cost_per_request,cost_per_success,reasoning_token_share,score_mad,score_stl,score_isolation_forest,token_baseline
2026-06-22 00:00:00,C001,6,3376,2134,1242,0.0041,100.0,0.0,0.0,0.0,6705.5,6905.0,6910.6,6532.5,187.0,1,3,3,0.0,0.0,50.0,0.0,185,562.6667,0.582,0.0007,0.0007,14.8953,0.0,1.1277989570080125,-0.23767942192536173,
2026-06-22 00:00:00,C003,2,676,232,444,0.0008,100.0,0.0,0.0,0.0,6781.0,7108.6,7137.72,5619.6,141.1,1,2,2,0.0,0.0,0.0,0.0,68,338.0,1.9138,0.0004,0.0004,15.3153,0.0,14.116757995615677,0.08220030222834318,
2026-06-22 00:00:00,C004,2,2165,1250,915,0.0026,100.0,0.0,0.0,0.0,8780.0,10060.7,10174.54,8527.7,125.9,1,2,2,0.0,0.0,0.0,0.0,192,1082.5,0.732,0.0013,0.0013,20.9836,0.0,0.7997131981334448,-0.11135443219046703,
2026-06-22 00:00:00,C005,3,1554,903,651,0.0019,66.6667,33.3333,33.3333,0.0,6910.0,7039.6,7051.12,6066.8,80.6,1,2,2,0.0,0.0,33.3333,0.0,124,518.0,0.7209,0.0006,0.0009,19.0476,0.0,0.5347908503595168,-0.21301310530571682,
2026-06-22 00:00:00,C006,6,4735,2888,1847,0.0065,83.3333,16.6667,0.0,0.0,7032.0,11170.75,11745.35,9686.5,135.5,1,3,3,0.0,0.0,50.0,0.0,195,789.1667,0.6395,0.0011,0.0013,10.5577,0.0,0.9343197674656478,-0.23099632576555928,
2026-06-22 00:00:00,C007,1,1227,1127,100,0.0015,100.0,0.0,0.0,0.0,6675.0,6675.0,6675.0,6341.0,48.0,1,1,1,0.0,0.0,0.0,0.0,10,1227.0,0.0887,0.0015,0.0015,10.0,0.0,1.520982955677776,-0.12359263241574092,
2026-06-22 00:00:00,C008,1,428,238,190,0.0005,100.0,0.0,0.0,0.0,6111.0,6111.0,6111.0,403.0,42.0,1,1,1,0.0,0.0,0.0,0.0,30,428.0,0.7983,0.0005,0.0005,15.7895,0.0,0.4530435886697571,-0.16722888788672136,
2026-06-22 00:00:00,C009,2,1463,843,620,0.0035,50.0,50.0,0.0,0.0,1781.0,2495.6,2559.12,403.8,53.25,1,2,2,0.0,0.0,0.0,0.0,135,731.5,0.7355,0.0018,0.0035,21.7742,0.0,324.9785274156927,-0.23667707364012902,
2026-06-22 00:00:00,C010,1,732,584,148,0.0012,100.0,0.0,0.0,0.0,1092.0,1092.0,1092.0,393.0,27.0,1,1,1,0.0,0.0,0.0,0.0,0,732.0,0.2534,0.0012,0.0012,0.0,0.0,1.251195597987409,-0.2995154731681525,
2026-06-22 01:00:00,C001,4,2092,1475,617,0.0025,100.0,0.0,0.0,0.0,6488.0,6631.05,6644.61,5973.25,117.75,1,3,2,0.0,25.0,25.0,0.0,110,523.0,0.4183,0.0006,0.0006,17.8282,0.0,0.21160858241297825,-0.21581929269374278,
